X(m),Y(m)
0.000102,-2.21216E-06
0.000103,-1.87741E-06
0.000104,-1.45003E-06
0.000105,-1.04522E-06
0.000106,-2.78568E-07
0.000107,3.14938E-07
0.000108,3.8151E-07
0.000109,7.91304E-07
0.00011,7.55831E-07
0.000111,-5.00475E-07
0.000112,-1.21577E-06
0.000113,-1.41173E-06
0.000114,-2.34044E-06
0.000115,-2.21536E-06
0.000116,-2.81788E-06
0.000117,-2.48404E-06
0.000118,-2.49919E-06
0.000119,-2.84741E-06
0.00012,-2.50138E-06
0.000121,-2.19822E-06
0.000122,-1.0965E-06
0.000123,-7.01158E-07
0.000124,3.66701E-07
0.000125,1.88452E-06
0.000126,3.8414E-06
0.000127,3.21202E-06
0.000128,3.87225E-06
0.000129,3.88455E-06
0.00013,4.02156E-06
0.000131,3.26397E-06
0.000132,2.71947E-06
0.000133,2.50131E-06
0.000134,2.07397E-06
0.000135,1.47466E-06
0.000136,1.80322E-06
0.000137,2.31258E-06
0.000138,3.17828E-06
0.000139,2.70159E-06
0.00014,1.54016E-06
0.000141,-2.36551E-07
0.000142,-2.80662E-06
0.000143,-4.00344E-06
0.000144,-5.72871E-06
0.000145,-5.69072E-06
0.000146,-6.27055E-06
0.000147,-5.09179E-06
0.000148,-3.77377E-06
0.000149,-3.5138E-06
0.00015,-2.46858E-06
0.000151,-1.25534E-06
0.000152,-9.85983E-07
0.000153,8.81522E-08
0.000154,6.63042E-07
0.000155,1.62764E-06
0.000156,2.49747E-06
0.000157,2.69815E-06
0.000158,2.32338E-06
0.000159,2.0958E-06
0.00016,2.00344E-06
0.000161,1.52673E-06
0.000162,2.64938E-06
0.000163,3.02431E-06
0.000164,3.77316E-06
0.000165,4.8477E-06
0.000166,5.97075E-06
0.000167,6.67301E-06
0.000168,7.92959E-06
0.000169,8.86825E-06
0.00017,8.57149E-06
0.000171,9.04447E-06
0.000172,8.3603E-06
0.000173,8.46574E-06
0.000174,8.22114E-06
0.000175,8.24158E-06
0.000176,7.86004E-06
0.000177,7.79941E-06
0.000178,7.60937E-06
0.000179,8.33417E-06
0.00018,9.71934E-06
0.000181,1.00666E-05
0.000182,1.03739E-05
0.000183,1.07069E-05
0.000184,1.00958E-05
0.000185,1.08706E-05
0.000186,1.00859E-05
0.000187,1.00027E-05
0.000188,9.42799E-06
0.000189,7.52248E-06
0.00019,6.04464E-06
0.000191,5.67473E-06
0.000192,4.39184E-06
0.000193,3.05573E-06
0.000194,2.66596E-06
0.000195,2.05315E-06
0.000196,1.32368E-06
0.000197,1.39421E-06
0.000198,7.08025E-07
0.000199,5.00405E-07
0.0002,4.26003E-07
0.000201,6.13634E-07
0.000202,6.80621E-08
0.000203,1.09295E-07
0.000204,-8.69856E-07
0.000205,-1.05427E-06
0.000206,-1.36733E-06
0.000207,-1.88361E-06
0.000208,-3.63648E-06
0.000209,-3.23599E-06
0.00021,-3.82313E-06
0.000211,-3.92548E-06
0.000212,-3.16457E-06
0.000213,-2.85222E-06
0.000214,-2.81469E-06
0.000215,-3.06074E-06
0.000216,-2.95269E-06
0.000217,-3.22004E-06
0.000218,-2.77158E-06
0.000219,-3.32645E-06
